113,310,191
47,173,104
31,173,102
16,172,100
0,163,94
-12,159,92
-26,155,91
-39,151,90
-53,148,91
-67,144,92
58,160,80
48,175,86
31,178,86
16,177,84
0,166,78
-13,165,78
-27,162,77
-39,154,75
-54,153,77
-69,149,78
58,160,62
47,172,65
31,177,65
16,174,64
0,166,60
-12,161,59
-27,160,59
-39,153,58
-54,152,59
-68,147,59
57,158,46
47,173,49
31,177,49
16,173,48
0,169,46
-12,157,43
-24,144,40
-35,137,39
-47,133,39
-60,130,39
49,135,25
47,173,32
31,177,32
16,168,30
0,164,29
-10,130,23
-16,97,17
-24,95,17
-32,91,17
-42,91,17
35,96,9
47,172,17
31,174,16
15,167,16
0,162,15
-9,119,11
-15,92,8
-23,89,8
-31,88,8
-39,84,8
34,92,0
47,173,0
30,172,0
16,168,0
0,160,0
-9,126,0
-15,89,0
-22,88,0
-31,88,0
-39,84,0
33,90,-7
46,170,-13
30,167,-13
16,167,-13
0,161,-12
-9,123,-9
-15,88,-7
-22,87,-7
-31,87,-7
-39,84,-7
33,91,-16
45,166,-29
29,166,-29
15,165,-28
0,159,-27
-10,130,-22
-15,89,-15
-22,88,-15
-30,86,-15
-39,83,-15
31,87,-23
45,165,-44
29,163,-42
15,163,-42
0,155,-40
-10,135,-34
-15,88,-23
-22,88,-23
-31,86,-23
-39,84,-23
32,88,-33
45,164,-61
29,164,-60
15,162,-58
0,159,-57
-10,131,-47
-15,90,-33
-22,87,-32
-30,85,-32
-38,83,-33
31,85,-42
44,161,-78
27,154,-73
14,147,-69
0,145,-67
-10,129,-60
-15,90,-42
-22,86,-41
-31,87,-43
-38,82,-42
30,83,-50
41,150,-89
22,128,-74
11,119,-68
0,119,-67
-8,112,-64
-14,86,-50
-22,86,-51
-29,83,-50
-37,81,-51
30,83,-61
31,115,-83
18,100,-71
9,98,-69
0,99,-69
-7,95,-67
-14,86,-61
-22,86,-62
-30,84,-62
-38,81,-63
