104,95,108
119,136,141
32,151,136
11,159,143
152,145,121
123,145,111
33,166,110
10,161,107
166,176,1
136,179,1
36,200,1
10,179,1
165,179,-25
134,179,-23
36,204,-23
12,212,-24
94,149,135
71,155,129
-14,180,129
-37,194,140
99,156,109
74,158,102
-15,186,104
-36,186,104
110,164,1
82,167,1
-16,191,1
-42,202,1
109,160,-23
81,163,-22
-16,189,-22
-41,199,-23
52,165,132
30,175,129
-57,205,130
-84,224,143
53,160,104
31,170,101
-59,204,105
-82,209,108
60,149,1
35,156,1
-66,186,1
-92,193,1
60,145,-23
34,148,-22
-65,176,-22
-93,188,-24
149,137,82
122,133,77
33,130,75
11,134,80
153,152,56
123,144,51
33,142,50
10,133,49
149,191,-53
121,184,-49
32,175,-47
8,144,-40
144,195,-78
115,184,-71
30,175,-67
7,129,-52
97,155,74
72,151,69
-14,152,70
-38,157,75
92,150,47
70,151,45
-14,153,45
-35,149,46
70,127,-35
52,123,-32
-10,125,-33
-26,121,-33
61,112,-46
43,103,-40
-9,109,-43
-24,115,-47
52,166,70
30,168,69
-55,166,68
-83,179,76
50,157,45
29,158,43
-56,167,46
-79,167,48
34,103,-30
20,105,-29
-40,114,-32
-76,154,-45
32,95,-42
17,90,-39
-35,100,-43
-70,141,-63
148,136,26
120,126,24
32,108,24
8,79,19
146,150,1
120,141,1
32,118,1
7,79,1
126,192,-96
104,182,-91
27,151,-87
6,101,-62
121,203,-122
98,189,-112
25,152,-104
6,114,-84
59,94,14
45,91,14
-8,76,13
-24,83,16
62,105,1
57,122,1
-9,87,1
-22,80,1
51,110,-55
42,113,-56
-7,89,-50
-20,89,-55
50,115,-70
35,101,-61
-7,95,-66
-19,91,-68
34,110,15
18,98,13
-34,86,13
-68,118,20
32,104,1
19,107,1
-36,92,1
-66,118,1
27,98,-51
17,105,-55
-31,88,-53
-60,117,-76
27,102,-68
15,92,-61
-29,86,-65
-52,105,-87
145,134,-26
119,121,-24
32,87,-24
8,64,-20
143,151,-50
116,137,-47
31,96,-45
7,63,-33
103,193,-139
87,180,-133
23,125,-126
5,82,-94
92,200,-159
76,183,-149
20,129,-142
5,92,-116
60,95,-15
45,89,-14
-8,63,-14
-25,66,-16
60,104,-29
45,96,-27
-8,69,-27
-23,65,-29
41,107,-76
34,110,-80
-6,79,-78
-17,74,-85
41,121,-98
30,107,-89
-6,81,-91
-15,75,-97
33,107,-15
18,95,-13
-33,69,-13
-61,82,-18
32,110,-28
19,102,-27
-34,75,-27
-54,76,-31
22,99,-75
14,101,-78
-25,71,-75
-46,86,-104
22,105,-93
12,95,-86
-24,73,-91
-39,79,-112
