62,348,204
16,170,99
0,165,95
-12,160,93
-27,157,92
-39,154,92
-54,151,93
-68,145,93
-83,145,97
-97,139,98
-113,136,102
-125,126,103
18,104,50
16,173,82
0,167,79
-12,163,77
-28,162,78
-40,157,77
-55,153,77
-69,149,77
-83,146,79
-100,143,83
-114,138,85
-126,127,85
18,100,37
16,174,64
0,166,60
-12,161,59
-27,160,59
-40,156,59
-53,150,58
-68,147,59
-81,143,60
-98,141,63
-113,137,65
-129,129,66
20,112,31
16,171,47
0,167,46
-12,160,44
-25,150,41
-36,142,40
-49,137,40
-63,135,41
-75,133,42
-94,135,45
-111,135,48
-129,129,50
25,142,25
15,166,29
0,162,29
-9,124,22
-17,99,18
-24,95,17
-33,93,17
-42,91,17
-50,88,18
-84,121,26
-111,134,31
-127,128,32
27,152,14
16,168,16
0,165,15
-9,119,11
-16,93,9
-23,90,8
-31,89,9
-39,83,8
-49,87,9
-82,118,13
-110,133,16
-127,128,17
29,165,0
15,166,0
0,161,0
-9,117,0
-15,89,0
-23,90,0
-31,86,0
-39,85,0
-47,83,0
-79,113,0
-107,129,0
-126,126,0
30,172,-13
15,165,-13
0,162,-12
-9,118,-9
-15,88,-7
-22,86,-7
-31,88,-7
-39,84,-7
-47,84,-7
-79,113,-10
-106,128,-13
-125,125,-13
31,177,-31
15,164,-28
0,159,-27
-9,123,-21
-15,89,-15
-22,87,-15
-30,85,-15
-39,83,-15
-47,83,-16
-74,106,-22
-105,127,-28
-123,123,-30
32,183,-47
15,161,-41
0,158,-40
-9,124,-32
-15,88,-23
-22,87,-23
-30,85,-23
-39,84,-23
-47,83,-24
-72,103,-32
-105,126,-42
-119,120,-43
32,184,-67
15,161,-58
0,160,-57
-10,132,-47
-15,87,-31
-22,86,-32
-30,85,-32
-39,84,-33
-47,82,-34
-70,101,-44
-102,123,-57
-119,120,-60
31,174,-82
14,148,-69
0,146,-68
-9,125,-58
-14,86,-40
-22,86,-41
-30,86,-42
-38,82,-42
-45,79,-42
-66,95,-54
-95,115,-69
-113,114,-75
29,164,-95
11,118,-67
0,119,-67
-8,113,-64
-14,86,-50
-21,84,-50
-30,85,-51
-38,82,-51
-46,81,-53
-62,89,-61
-75,90,-67
-92,92,-74
